TITLE,SENTIMENT,SOURCE,DESCRIPTION,IMAGE
WATCH: Powerlifting Paralympics 2024 Stars Stun the World Lifting Triple Their Bodyweight,0.081142135,The Daily Beast,"The jaw-dropping athleticism of the powerlifting Paralympic stars at the 2024 Paris Paralympics has been leaving viewers awestruck as competitors from around the world defy the odds and break world records. Venezuela’s Clara Fuentes won gold in the women’s up to 50-kilogram category on Thursday, lifting an astonishing 124kg. The day before, China’s Guo Lingling twice shattered the world record she set in February by lifting 122kg and 123kg—more than three times her body weight—and winning her fi",https://s.yimg.com/uu/api/res/1.2/spE3oJKjf1VW_PfLCgTukg--~B/Zmk9c3RyaW07aD0yODQ7cT04MDt3PTUzNjthcHBpZD15dGFjaHlvbg--/https://media.zenfs.com/en/thedailybeast.com/d73e945908fedf1dcf44d6a0692e52c1.cf.jpg
U.S. Open Final Inching Closer to Battle of 2 Billionaire Families,0.04027518,The Daily Beast,"Their nationality and tennis prowess aren’t the only things Emma Navarro and Jessica Pegula have in common. The American tennis stars, each just one win away from clinching a spot in the U.S. Open’s singles final, are also the daughters of billionaires who’ve each played down their privilege after entering the international spotlight. Pegula, 30, is the daughter of Terry Pegula, the owner of the NFL’s Buffalo Bills, the NHL’s Buffalo Sabres and founder of natural gas company, East Resources. He’",https://s.yimg.com/uu/api/res/1.2/JRKD3eVllYWwm8PIw6315Q--~B/Zmk9c3RyaW07aD0yODQ7cT04MDt3PTUzNjthcHBpZD15dGFjaHlvbg--/https://media.zenfs.com/en/business_insider_articles_888/1d164c7a44b0f8e77b4478f643a560b1.cf.jpg
The economy is at a fork in the road,-0.5342448,Business Insider,"The economy could go one of two ways in the near future, and one last data point may make it clear.",https://s.yimg.com/uu/api/res/1.2/oV06Enfww.xjSzTDs6K5KQ--~B/Zmk9c3RyaW07aD0yODQ7cT04MDt3PTUzNjthcHBpZD15dGFjaHlvbg--/https://media.zenfs.com/en/insider_articles_922/65e93ee63f482792961773f6ad1e3f9a.cf.jpg
I love being a 'golf wife' and riding with my husband while he plays. It's not as boring as it sounds — and I've learned a lot.,0.97508085,INSIDER,"I don't golf, but I like being a ""golf wife"" and going with my husband when he plays. It makes our relationship stronger and we both get to relax.",https://s.yimg.com/uu/api/res/1.2/G6lbrm82uF6XSPvkIgp6Lw--~B/Zmk9c3RyaW07aD0yODQ7cT04MDt3PTUzNjthcHBpZD15dGFjaHlvbg--/https://media.zenfs.com/en/business_insider_articles_888/bb70000f1d793ab966f7cd6f5f39f90d.cf.jpg
Bill Gates reveals what he uses AI for most,0.18574083,Business Insider,"The founder and former CEO of Microsoft spends a lot of time in meetings in Teams, and says he regularly relies on the app's AI summaries.",https://s.yimg.com/uu/api/res/1.2/w8RsiFN5IoaZKtvI_xOo7Q--~B/Zmk9c3RyaW07aD0yODQ7cT04MDt3PTUzNjthcHBpZD15dGFjaHlvbg--/https://media.zenfs.com/en/business_insider_articles_888/52d5f9b2c62bbe63e34c1bced2d258e6.cf.jpg
"How Meghan Markle's style has evolved, from her Hollywood days to her post-royal life",0.14521833,Business Insider,"Meghan Markle's style became conservative when she met Prince Harry, but she wore daring looks as an actor. Now, she's embracing quiet luxury.",https://s.yimg.com/uu/api/res/1.2/vmg9zQsYmIHfvklHIg.bpw--~B/Zmk9c3RyaW07aD0yODQ7cT04MDt3PTUzNjthcHBpZD15dGFjaHlvbg--/https://media.zenfs.com/en/business_insider_articles_888/9493d4d3e7b657a5893352df53f5ce85.cf.jpg
"The rise of Airbnb CEO Brian Chesky, who overcame the COVID-19 travel slump and is now leading the company through rental crackdowns",0.83258224,Business Insider,"Brian Chesky, Airbnb's 43-year-old cofounder, had an unconventional path to Silicon Valley. Now his travel company is a household name.",https://s.yimg.com/uu/api/res/1.2/3eWLrEAzFpish0z8Scab8A--~B/Zmk9c3RyaW07aD0yODQ7cT04MDt3PTUzNjthcHBpZD15dGFjaHlvbg--/https://media.zenfs.com/en/miami_herald_mcclatchy_975/4b4ff399c273b3008d74c1659fca54aa.cf.jpg
Surgery for shoulder injury? Depends on your priorities,-0.23447917,Miami Herald,"Q: I recently fell off my bicycle and injured my left shoulder. I experienced severe pain, limited shoulder motion, and a bump on the top of my shoulder.",https://s.yimg.com/uu/api/res/1.2/iLIZEUix4BkwR7jWi3pYTA--~B/Zmk9c3RyaW07aD0yODQ7cT04MDt3PTUzNjthcHBpZD15dGFjaHlvbg--/https://media.zenfs.com/en/miami_herald_mcclatchy_975/a1cff55f9dc50aa585e2db0e731c2b6e.cf.jpg
"Cote’s NFL Week 1 picks: Dolphins-Jags, Aaron Rodgers’ Jets comeback, 5 big upsets &amp; the rest",-0.070643246,Miami Herald,"Week 1 of Greg Cote’s 34th year of NFL picks in the Miami Herald includes Dolphins-Jaguars, Aaron Rodgers’ comeback game, five big upsets and all the rest",https://s.yimg.com/uu/api/res/1.2/7HxHNA1v2pWmnz21DEx2Dg--~B/Zmk9c3RyaW07aD0yODQ7cT04MDt3PTUzNjthcHBpZD15dGFjaHlvbg--/https://media.zenfs.com/en/insider_articles_922/7060230da3c2b441954d1cac01aff22e.cf.jpg
Video,0.20887172,Space,SpaceX's Launch Pad 40 at the Cape Canaveral Space Force Station in Florida has been fitted with a chute for astronauts to use in case of emergency. Credit: Space.com | footage courtesy: SpaceX | edited by Steve Spaleta,https://s.yimg.com/uu/api/res/1.2/7zLYxUu66GHgQvN._D7TAw--~B/Zmk9c3RyaW07aD0yODQ7cT04MDt3PTUzNjthcHBpZD15dGFjaHlvbg--/https://media.zenfs.com/en/salon_articles_879/8d05aca6fc7775b60ba5238275d0abbe.cf.jpg
"I'm vegan, but the rest of my family isn't. These 7 Trader Joe's staples get all of us through the week.",0.79807264,INSIDER,"I'm the only person in my family who's vegan, but I'm do all the grocery shopping. Here's what I buy on (plant-based and not) at Trader Joe's.",https://s.yimg.com/uu/api/res/1.2/QRJI5DxoR26aqUpNRQkgqg--~B/Zmk9c3RyaW07aD0yODQ7cT04MDt3PTUzNjthcHBpZD15dGFjaHlvbg--/https://media.zenfs.com/en/business_insider_articles_888/c39458c4918382b85834b9c83f11c714.cf.jpg
Goldman Sachs report: Harris would likely boost the economy while Trump would stifle growth,0.35369715,Salon,Analysts said that Trump's policies on issues from tariffs and immigration could cut into U.S. GDP,https://s.yimg.com/uu/api/res/1.2/EEe2Elau8ekkdoBq85zWGw--~B/Zmk9c3RyaW07aD0yODQ7cT04MDt3PTUzNjthcHBpZD15dGFjaHlvbg--/https://media.zenfs.com/en/the_new_republic_521/c1965ce479ac4faaf115a34767b90b69.cf.jpg
Elon Musk is a Trump win away from serious federal power,-0.31017897,Business Insider,"Former President Donald Trump is taking a page out of Elon Musk's book, announcing a plan to create a commission to address government efficiency.",https://s.yimg.com/uu/api/res/1.2/7NHwYrOFrAM5Jn7lQSa8cQ--~B/Zmk9c3RyaW07aD0yODQ7cT04MDt3PTUzNjthcHBpZD15dGFjaHlvbg--/https://media.zenfs.com/en/thedailybeast.com/556b0f32157f698f7caa5bc57de1eb44.cf.jpg
Idiot Trump’s Own Words Could Come Back to Bite Him in Jan. 6 Trial,-0.89978,The New Republic,Donald Trump’s own admission that he lost “by a whisker” in 2020 could wreck his trial before it even begins.,https://s.yimg.com/uu/api/res/1.2/Vs0LKz_JHpRsNKtPOxL8_w--~B/Zmk9c3RyaW07aD0yODQ7cT04MDt3PTUzNjthcHBpZD15dGFjaHlvbg--/https://media.zenfs.com/en/miami_herald_mcclatchy_975/5cd82cb464a47315c26be9954343d6ea.cf.jpg
MAGA Congressman’s Wife Accuses Him of Being on Drugs,-0.6484273,The Daily Beast,"A MAGA congressman is being accused of being on drugs by his estranged wife in a bitter divorce and custody battle.Max Miller, a Donald Trump-aide-turned Ohio GOP congressman, revealed that he was alleged to be involved in “drug use” in court papers filed by him against Emily Moreno Miller, which were first reported by Cleveland.com.In the papers, Miller, 35, said his estranged wife, 30, had bolted when he was at work, leaving their home in the Cleveland suburb of Rocky River and moving to a $65",https://s.yimg.com/uu/api/res/1.2/RKvZfn_9sBoDBH43TZcZLQ--~B/Zmk9c3RyaW07aD0yODQ7cT04MDt3PTUzNjthcHBpZD15dGFjaHlvbg--/https://media.zenfs.com/en/miami_herald_mcclatchy_975/bfd504968f62e4648a5f8fedd7ad7f5c.cf.jpg
Mario Cristobal’s big task this season: Keeping Hurricanes ‘driven and hungry’ amid success,0.5938541,Miami Herald,The No. 12 Hurricanes enter their home opener against Florida A&amp;M with their highest ranking in the AP poll since the 2020 season.,https://s.yimg.com/uu/api/res/1.2/4D.Te1jtL837MF8tpXKGGg--~B/Zmk9c3RyaW07aD0yODQ7cT04MDt3PTUzNjthcHBpZD15dGFjaHlvbg--/https://media.zenfs.com/en/insider_articles_922/c7b252464895640ff8293054240aff09.cf.jpg
Liposuction or mastectomy can correct breast enlargement in young males,0.13227946,Miami Herald,"Q: Dr. Wolf, my son is 16 years old and appears to have an enlargement of his breast. He is embarrassed by it and would like to get it fixed. What is your recommendation and what exactly is it?",https://s.yimg.com/uu/api/res/1.2/te5J7HvudJAdGx2KfVeOBQ--~B/Zmk9c3RyaW07aD0yODQ7cT04MDt3PTUzNjthcHBpZD15dGFjaHlvbg--/https://media.zenfs.com/en/insider_articles_922/2f8d06f3c843c88f5b121d31d691fdc9.cf.jpg
"Oasis' reunion tour ticket sales were a mess. Now, authorities are zeroing in on Ticketmaster.",-0.89663434,INSIDER,"The UK is investigating Ticketmaster's Oasis ticket sales, examining the dynamic pricing model and potential breaches of consumer protection laws.",https://s.yimg.com/uu/api/res/1.2/1VtG.loo8djYLUDqWWyS0g--~B/Zmk9c3RyaW07aD0yODQ7cT04MDt3PTUzNjthcHBpZD15dGFjaHlvbg--/https://media.zenfs.com/en/business_insider_articles_888/bd70bcda3a7fc58fa9b06b43daa9f41c.cf.jpg
Michael Keaton says he's going to start using a version of his birth name — Michael Douglas,0.03961448,INSIDER,"Michael Keaton is the latest star to reveal that he'd prefer to use his birth name — in this case, Michael Douglas.",https://s.yimg.com/uu/api/res/1.2/tjrhs7npLTvM.akrPm4ZbA--~B/Zmk9c3RyaW07aD0yODQ7cT04MDt3PTUzNjthcHBpZD15dGFjaHlvbg--/https://media.zenfs.com/en/miami_herald_mcclatchy_975/68407b117a6fe231f3da21949656704e.cf.jpg
Video,0.20887172,Space,"The James Webb Space Telescope's Near-Infrared Camera (NIRCam) reveals a stunning view of star-forming region Sagittarius C (Sgr C). Reported to be around 300 light-years from the Milky Way’s central supermassive black hole, Sagittarius A*. Credit: Space.com | footage courtesy: NASA, ESA, CSA, STScI, S. Crowe (UVA), N. Bartmann (ESA/Webb) | edited by Steve Spaleta Music: In Stillness by Gavin Luke / courtesy of Epidemic Sound",https://s.yimg.com/uu/api/res/1.2/T9Zbhk5F7xDZzpEzc9CAMA--~B/Zmk9c3RyaW07aD0yODQ7cT04MDt3PTUzNjthcHBpZD15dGFjaHlvbg--/https://media.zenfs.com/en/thedailybeast.com/67a3122227d29e3dbad8fd9c299963ea.cf.jpg
A timeline of Elon Musk and Donald Trump's rocky relationship,-0.23842035,Business Insider,"Donald Trump and Elon Musk have had a fraught relationship, but now the two powerful men are close political allies.",https://s.yimg.com/uu/api/res/1.2/aztBkYAx6cXhiPFmsdRHww--~B/Zmk9c3RyaW07aD0yODQ7cT04MDt3PTUzNjthcHBpZD15dGFjaHlvbg--/https://media.zenfs.com/en/miami_herald_mcclatchy_975/69ae7962fe44419b0aab8509da4bc01d.cf.jpg
Police shut a lane of the Rickenbacker Causeway to investigate ‘suspicious package’,-0.42911828,Miami Herald,What we know so far.,https://s.yimg.com/uu/api/res/1.2/VTq.VSQNfDxp0r_8lwNgcg--~B/Zmk9c3RyaW07aD0yODQ7cT04MDt3PTUzNjthcHBpZD15dGFjaHlvbg--/https://media.zenfs.com/en/ktla_articles_362/4312865916660857b7cbff4dd2cb2377.cf.jpg
Doug Emhoff Says Friends Were Jealous of His Tim Walz ‘Bro Hug’,-0.4534257,The Daily Beast,"Second gentleman Doug Emhoff spent much of his new hour-long interview on Pod Save America extolling the virtues of his “super bada--” wife who “really gives a s--t” about the American people. But it was the moment when he discussed his newfound friendship with Kamala Harris’ running mate, Tim Walz, that he really lit up.Before they shared the stage at the Democratic ticket’s first joint rally in Philadelphia last month, Emhoff had only met Walz briefly once before. “Then I didn’t see him until",https://s.yimg.com/uu/api/res/1.2/1gg.oqz67Z9pByPaHitTZQ--~B/Zmk9c3RyaW07aD0yODQ7cT04MDt3PTUzNjthcHBpZD15dGFjaHlvbg--/https://media.zenfs.com/en/sacramento_bee_mcclatchy_569/ba77d208522bda75eba0fa45f29be4cf.cf.jpg
Corruption scandal in Haiti highlights shortcomings of U.S.-backed political transition,-0.8166452,Miami Herald,"“When you separate the power among nine presidents, you’ve multiplied the problems of the presidency by nine.”",https://s.yimg.com/uu/api/res/1.2/slEmKgt10.1BlHn9o77q9w--~B/Zmk9c3RyaW07aD0yODQ7cT04MDt3PTUzNjthcHBpZD15dGFjaHlvbg--/https://media.zenfs.com/en/miami_herald_mcclatchy_975/facb98cc4403d41b230a21489b839ea2.cf.jpg
Disney CEO Bob Iger and Willow Bay officially buy Angel City FC,0.5294981,KTLA articles,"A star-studded ownership group led by Disney CEO Bob Iger and his wife, journalist Willow Bay, have completed its historic purchase of a controlling interest of Angel City FC, the club announced on Thursday. The Los Angeles-based club became the most valuable franchise in the history of American women’s professional sports after the purchase, which […]",https://s.yimg.com/uu/api/res/1.2/nQTBhZjGN7gOPFDTPki4kw--~B/Zmk9c3RyaW07aD0yODQ7cT04MDt3PTUzNjthcHBpZD15dGFjaHlvbg--/https://media.zenfs.com/en/thedailybeast.com/a98c8cee983705b2f22965ab44a5c81e.cf.jpg
Ex-U.S. senator’s ‘dream’ home is near Lake Tahoe. See the ranch he’s selling for $3.4M,-0.10564939,Sacramento Bee,GOP’s Dean Heller bought the Nevada property in 2010. It has been a backdrop in campaign ads.,https://s.yimg.com/uu/api/res/1.2/pDQvJcTaeuQztCuqseONpw--~B/Zmk9c3RyaW07aD0yODQ7cT04MDt3PTUzNjthcHBpZD15dGFjaHlvbg--/https://media.zenfs.com/en/salon_articles_879/9593eb039387d10c6b52c4f888847faa.cf.jpg
Dolphins coaches address personnel questions on defense. And notes,-0.05911887,Miami Herald,"Dolphins coaches discuss plans at linebacker, edge rusher and safety. And notes.",https://s.yimg.com/uu/api/res/1.2/G.1rHH9I_o8Habw_etgogw--~B/Zmk9c3RyaW07aD0yODQ7cT04MDt3PTUzNjthcHBpZD15dGFjaHlvbg--/https://media.zenfs.com/en/salon_articles_879/41a71c0b4d0b9ad1af0451335df7e53c.cf.jpg
Hunter Biden Tries to Avoid Another Tawdry Trial With Guilty Plea,-0.23986885,The Daily Beast,"An attorney representing Hunter Biden told the federal judge presiding over his case Thursday that the recently convicted son of President Joe Biden intends to plead guilty in his $1.4 million tax evasion trial.“Mr. Biden intends to change his plea this morning,” attorney Abbe Lowell told U.S. District Judge Mark Scarsi on Thursday morning.Hunter, 54, had previously intended to maintain his innocence while conceding the prosecution has evidence against him worthy of a conviction, also known as a",https://s.yimg.com/uu/api/res/1.2/OtzsDdSrzeZ1FOZxwrsZSA--~B/Zmk9c3RyaW07aD0yODQ7cT04MDt3PTUzNjthcHBpZD15dGFjaHlvbg--/https://media.zenfs.com/en/sacramento_bee_mcclatchy_569/67dc4902f3cc162f28b719bc04802cc4.cf.jpg
"""Hunger in America is getting worse, not better"" according to an explosive new USDA report",-0.8562911,Salon,The USDA reports the highest levels of food insecurity in America in nearly a decade,https://s.yimg.com/uu/api/res/1.2/ypnkzbGba0uuLPbXlHMgiA--~B/Zmk9c3RyaW07aD0yODQ7cT04MDt3PTUzNjthcHBpZD15dGFjaHlvbg--/https://media.zenfs.com/en/thedailybeast.com/b67ccf223710f5e4c0acc05033555c54.cf.jpg
"""Information is power"": Leaked Trump campaign memo warns staff against leaking",-0.24680479,Salon,The message told staff members to refrain from jeopardizing Trump’s campaign by speaking to the press,https://s.yimg.com/cv/apiv2/default/20181001/360RR/header-3@2x.png
Mountain lion spotted on home surveillance camera in Northern California neighborhood,0.058695644,Sacramento Bee,Mountain lion sightings have grown in prominence since a deadly attack on two brothers last spring near Georgetown.,https://s.yimg.com/lo/api/res/1.2/t9xuX8XHDv9vPVSIAxGZeQ--~B/YXBwaWQ9eW15O2NvbnRleHQ9W29iamVjdCBPYmplY3RdO2kxM249W29iamVjdCBPYmplY3RdO21yc09wdGlvbnM9W29iamVjdCBPYmplY3RdO3JpZ2h0UmFpbD10cnVlO3R5cGU9bmV3cw--/https://s.yimg.com/ep/cx/blendr/v2/image-military-times-jpg_1725379717564.jpeg
Opinion: Alexander Vindman: Trump Trampled Arlington Heroes’ Graves. We Won’t Forget,-0.27126774,The Daily Beast,"Alexander Vindman, lieutenant colonel US Army (retired), was the director for European Affairs on the United States National Security Council. He is now a senior adviser to VoteVets, and runs the national security and defense think tank, the Institute for Informed American Leadership. His military awards include two Legions of Merit and the Purple Heart, having sustained wounds in an IED attack during the Iraq War.I wasn’t surprised when I saw the picture of Donald Trump making a thumbs-up sign,",https://s.yimg.com/lo/api/res/1.2/KwkCkzJU2SqWdEWeGO0OJQ--~B/YXBwaWQ9eW15O2NvbnRleHQ9W29iamVjdCBPYmplY3RdO2kxM249W29iamVjdCBPYmplY3RdO21yc09wdGlvbnM9W29iamVjdCBPYmplY3RdO3JpZ2h0UmFpbD10cnVlO3R5cGU9bmV3cw--/https://media-mbst-pub-ue1.s3.amazonaws.com/creatr-uploaded-images/2018-11/eed53b50-e30a-11e8-becf-e9c1a6508483
